"id","name","accession","function","domains","crispr_score","reference"
5,"BPK1","TGME49 253330","Needed for the development and infectivity of cysts. Located at the cyst wall.","signal peptide, no transmembrane domain",-1.78,"(Buchholz et al. 2011; 2013)"
6,"CST1","TGME49 064660","maintains cyst wall integrity and promotes bradyzoite persistence","Transmembrane domain, no signal peptide",0.85,"(Guevara et al. 2020; Tomita et al. 2013; Zhang et al. 2020)"
7,"CST4","TGME49 261650","cyst wall proteins","WD40 repeat-like domain, no signal peptide or transmembrane domain",1.61,"(Tu et al. 2020)"
8,"CST7","TgME49_258870","cyst wall proteins","transmembrane domain, no signal peptide",1.32,"(Tu et al. 2020)"
9,"CST8","TgME49 204340","cyst wall proteins","signal peptide, transmembrane domains",1.6,"(Tu et al. 2020)"
10,"CST9","TgME49_310790","cyst wall proteins","signal peptide, no transmembrane domain",-3.1,"(Tu et al. 2020)"
11,"Cyclophilin","TGME49 221210","Identified in multiple BioID pulldowns using known PV proteins, DG localization not verified by microscopy. Possible role in suppressing host immune response","Has signal peptide, no transmembrane domain",-1.6,"(Nadipuram et al. 2016; Nadipuram et al. 2020)"
12,"DGK2","TGME49 259830","Makes phosphatidic acid, required for natural parasite egress","diacylglycerol kinase catalytic domain, signal peptide, no transmembrane domain",0.05,"(Bisio et al. 2019)"
13,"GRA01","TGME49 270250","Potential function in suppression of host apoptosis. Localizes to the PV lumen","signal peptide, calcium binding domain, no transmembrane domain",-5.27,"(Cesbron-Delauw et al. 1989; Wu et al. 2017)"
14,"GRA02","TGME49 227620","Located at the IVN. Needed for IVN formation, suppression of antigen presentation, and uptake of host lipid droplets","Signal peptide, no transmembrane domain",2.47,"(Nolan et al. 2017)"
15,"GRA03","TGME49 227280","interacts with host Golgi and dysregulates anterograde transport from the ER to plasma membrane. Located in the PVM and IVN","transmembrane domain, no signal peptide",2.14,"(Craver and Knoll 2007; Deffieu et al. 2019)"
16,"GRA04","TGME49 310780","elicits both mucosal and systemic immune responses following oral infection of mice with cysts. Maintains the IVN. Located at the IVN","transmembrane domain, no signal peptide",2.34,"(Labruyere et al. 1999; Nam 2009)"
